x,y,z,u,v,w,p,speed
0.923077,0,0.0769231,2.26316e-34,-2.22409e-34,-2.85169e-35,-8.04716,3.18588e-34
1,0,0.0769231,-4.5204e-33,9,-2.80723e-34,-16.4042,9
0,0.0769231,0.0769231,4.38315e-36,-9.57369e-36,-7.46159e-37,-0.113346,1.05558e-35
0.0769231,0.0769231,0.0769231,0.00871554,-0.00752889,-0.00145239,-0.107794,0.0116084
0.153846,0.0769231,0.0769231,0.0375444,-0.0170115,-0.00509135,-0.105429,0.0415319
0.230769,0.0769231,0.0769231,0.0874734,-0.0255015,-0.00882715,-0.11437,0.0915415
0.307692,0.0769231,0.0769231,0.158672,-0.0348933,-0.0124705,-0.141565,0.162941
0.384615,0.0769231,0.0769231,0.254336,-0.0472384,-0.0161836,-0.194689,0.259192
0.461538,0.0769231,0.0769231,0.380907,-0.0648192,-0.0201521,-0.284171,0.386908
0.538462,0.0769231,0.0769231,0.549004,-0.0909304,-0.0244916,-0.42505,0.557022
0.615385,0.0769231,0.0769231,0.774649,-0.131198,-0.0291866,-0.645606,0.786223
0.692308,0.0769231,0.0769231,1.07422,-0.198494,-0.035377,-0.993363,1.09298
0.769231,0.0769231,0.0769231,1.51052,-0.300816,-0.0378967,-1.50422,1.54065
0.846154,0.0769231,0.0769231,2.01364,-0.398668,-0.0393374,-2.68237,2.0531
0.923077,0.0769231,0.0769231,1.7386,0.0121025,-0.107789,-4.42666,1.74198
1,0.0769231,0.0769231,1.45583e-33,9,-3.15561e-34,-3.91427,9
0,0.153846,0.0769231,9.52695e-36,-2.78356e-35,5.82117e-37,-0.120708,2.94266e-35
0.0769231,0.153846,0.0769231,0.0170529,-0.0320766,0.000398868,-0.11114,0.03633
0.153846,0.153846,0.0769231,0.0635888,-0.0615897,-0.00333095,-0.109599,0.0885885
0.230769,0.153846,0.0769231,0.137577,-0.089257,-0.00695488,-0.120809,0.164142
0.307692,0.153846,0.0769231,0.239634,-0.119997,-0.0102699,-0.150094,0.268196
0.384615,0.153846,0.0769231,0.373182,-0.158778,-0.0134343,-0.204217,0.405778
0.461538,0.153846,0.0769231,0.543619,-0.210343,-0.0166132,-0.29219,0.583131
0.538462,0.153846,0.0769231,0.756763,-0.279781,-0.0199721,-0.42707,0.807072
0.615385,0.153846,0.0769231,1.01435,-0.372695,-0.02387,-0.627927,1.08092
0.692308,0.153846,0.0769231,1.30606,-0.489074,-0.0287515,-0.917443,1.39492
0.769231,0.153846,0.0769231,1.57058,-0.586264,-0.0355537,-1.35107,1.67681
0.846154,0.153846,0.0769231,1.55413,-0.425879,-0.0587002,-1.92375,1.6125
0.923077,0.153846,0.0769231,0.815925,1.48372,-0.0982432,-2.26556,1.69612
1,0.153846,0.0769231,5.48087e-34,9,-4.71665e-35,-1.82233,9
0,0.230769,0.0769231,1.06763e-35,-5.24353e-35,1.72509e-36,-0.116575,5.35389e-35
0.0769231,0.230769,0.0769231,0.0198924,-0.0689779,0.00212817,-0.105376,0.0718205
0.153846,0.230769,0.0769231,0.0717743,-0.122167,-0.00107141,-0.103553,0.141695
0.230769,0.230769,0.0769231,0.150545,-0.171732,-0.00404827,-0.114385,0.228412
0.307692,0.230769,0.0769231,0.255594,-0.226456,-0.00656468,-0.141508,0.341546
0.384615,0.230769,0.0769231,0.388574,-0.29279,-0.00882067,-0.18996,0.486615
0.461538,0.230769,0.0769231,0.550604,-0.374756,-0.0110265,-0.26621,0.66613
0.538462,0.230769,0.0769231,0.738419,-0.472735,-0.0134574,-0.378384,0.876882
0.615385,0.230769,0.0769231,0.93729,-0.578417,-0.0166153,-0.535249,1.10152
0.692308,0.230769,0.0769231,1.10642,-0.656589,-0.0215956,-0.745123,1.28676
0.769231,0.230769,0.0769231,1.15226,-0.587685,-0.031703,-1.00013,1.29387
0.846154,0.230769,0.0769231,0.917684,0.0375363,-0.0525871,-1.23545,0.919955
0.923077,0.230769,0.0769231,0.380215,2.44525,-0.072137,-1.29268,2.47569
1,0.230769,0.0769231,1.59159e-34,9,-4.74517e-35,-1.14368,9
0,0.307692,0.0769231,9.02299e-36,-7.6603e-35,2.00386e-36,-0.0973906,7.71586e-35
0.0769231,0.307692,0.0769231,0.0177715,-0.107964,0.00270933,-0.0872914,0.109451
0.153846,0.307692,0.0769231,0.0635153,-0.183804,0.000289267,-0.085395,0.194469
0.230769,0.307692,0.0769231,0.131279,-0.252764,-0.00193083,-0.0941436,0.284829
0.307692,0.307692,0.0769231,0.219199,-0.327621,-0.00369613,-0.11575,0.394205
0.384615,0.307692,0.0769231,0.326952,-0.414861,-0.00520174,-0.153454,0.528238
0.461538,0.307692,0.0769231,0.452197,-0.515022,-0.00667255,-0.211062,0.685401
0.538462,0.307692,0.0769231,0.586397,-0.619543,-0.00841293,-0.292418,0.853092
0.615385,0.307692,0.0769231,0.708517,-0.701768,-0.0109686,-0.399856,0.997294
0.692308,0.307692,0.0769231,0.776983,-0.694726,-0.0154905,-0.529811,1.04239
0.769231,0.307692,0.0769231,0.727838,-0.43554,-0.0239602,-0.663806,0.848539
0.846154,0.307692,0.0769231,0.508901,0.465908,-0.0372797,-0.760024,0.690971
0.923077,0.307692,0.0769231,0.184762,2.96946,-0.0467537,-0.764907,2.97557
1,0.307692,0.0769231,6.9983e-35,9,-2.87895e-35,-0.681496,9
0,0.384615,0.0769231,5.55314e-36,-9.45928e-35,1.438e-36,-0.064479,9.47666e-35
0.0769231,0.384615,0.0769231,0.0120502,-0.139599,0.00214053,-0.0575614,0.140135
0.153846,0.384615,0.0769231,0.0429935,-0.232981,0.000640013,-0.0561908,0.236916
0.230769,0.384615,0.0769231,0.0882329,-0.315959,-0.000729723,-0.0619206,0.328048
0.307692,0.384615,0.0769231,0.1458,-0.404412,-0.00178315,-0.0758436,0.429895
0.384615,0.384615,0.0769231,0.214587,-0.504159,-0.0026558,-0.0996942,0.547934
0.461538,0.384615,0.0769231,0.291516,-0.611724,-0.00351944,-0.135284,0.677644
0.538462,0.384615,0.0769231,0.368623,-0.710105,-0.00460295,-0.183899,0.800096
0.615385,0.384615,0.0769231,0.429585,-0.758695,-0.00629366,-0.244896,0.871895
0.692308,0.384615,0.0769231,0.447747,-0.673224,-0.00927432,-0.313231,0.808576
0.769231,0.384615,0.0769231,0.392646,-0.28604,-0.0143571,-0.376154,0.486
0.846154,0.384615,0.0769231,0.254645,0.744075,-0.0215245,-0.41384,0.786737
0.923077,0.384615,0.0769231,0.0859087,3.24313,-0.0258544,-0.406388,3.24437
1,0.384615,0.0769231,3.26183e-35,9,-1.59988e-35,-0.364821,9
0,0.461538,0.0769231,1.12476e-36,-1.02626e-34,3.43754e-37,-0.0222053,1.02633e-34
0.0769231,0.461538,0.0769231,0.00420533,-0.157168,0.000788897,-0.0197421,0.157226
0.153846,0.461538,0.0769231,0.015123,-0.26005,0.000282834,-0.0193884,0.26049
0.230769,0.461538,0.0769231,0.0310036,-0.350289,-0.00015954,-0.0216742,0.351658
0.307692,0.461538,0.0769231,0.0509755,-0.445409,-0.000503145,-0.0267955,0.448317
